Date,10YTR,IsRecession
2000-01-01,6.66,0
2000-02-01,6.52,0
2000-03-01,6.26,0
2000-04-01,5.99,0
2000-05-01,6.44,0
2000-06-01,6.10,0
2000-07-01,6.05,0
2000-08-01,5.83,0
2000-09-01,5.80,0
2000-10-01,5.74,0
2000-11-01,5.72,0
2000-12-01,5.24,0
2001-01-01,5.16,0
2001-02-01,5.10,0
2001-03-01,4.89,1
2001-04-01,5.14,1
2001-05-01,5.39,1
2001-06-01,5.28,1
2001-07-01,5.24,1
2001-08-01,4.97,1
2001-09-01,4.73,1
2001-10-01,4.57,1
2001-11-01,4.65,0
2001-12-01,5.09,0
2002-01-01,5.04,0
2002-02-01,4.91,0
2002-03-01,5.28,0
2002-04-01,5.21,0
2002-05-01,5.16,0
2002-06-01,4.93,0
2002-07-01,4.65,0
2002-08-01,4.26,0
2002-09-01,3.87,0
2002-10-01,3.94,0
2002-11-01,4.05,0
2002-12-01,4.03,0
2003-01-01,4.05,0
2003-02-01,3.90,0
2003-03-01,3.81,0
2003-04-01,3.96,0
2003-05-01,3.57,0
2003-06-01,3.33,0
2003-07-01,3.98,0
2003-08-01,4.45,0
2003-09-01,4.27,0
2003-10-01,4.29,0
2003-11-01,4.30,0
2003-12-01,4.27,0
2004-01-01,4.15,0
2004-02-01,4.08,0
2004-03-01,3.83,0
2004-04-01,4.35,0
2004-05-01,4.72,0
2004-06-01,4.73,0
2004-07-01,4.50,0
2004-08-01,4.28,0
2004-09-01,4.13,0
2004-10-01,4.10,0
2004-11-01,4.19,0
2004-12-01,4.23,0
2005-01-01,4.22,0
2005-02-01,4.17,0
2005-03-01,4.50,0
2005-04-01,4.34,0
2005-05-01,4.14,0
2005-06-01,4.00,0
2005-07-01,4.18,0
2005-08-01,4.26,0
2005-09-01,4.20,0
2005-10-01,4.46,0
2005-11-01,4.54,0
2005-12-01,4.47,0
2006-01-01,4.42,0
2006-02-01,4.57,0
2006-03-01,4.72,0
2006-04-01,4.99,0
2006-05-01,5.11,0
2006-06-01,5.11,0
2006-07-01,5.09,0
2006-08-01,4.88,0
2006-09-01,4.72,0
2006-10-01,4.73,0
2006-11-01,4.60,0
2006-12-01,4.56,0
2007-01-01,4.76,0
2007-02-01,4.72,0
2007-03-01,4.56,0
2007-04-01,4.69,0
2007-05-01,4.75,0
2007-06-01,5.10,0
2007-07-01,5.00,0
2007-08-01,4.67,0
2007-09-01,4.52,0
2007-10-01,4.53,0
2007-11-01,4.15,0
2007-12-01,4.10,1
2008-01-01,3.74,1
2008-02-01,3.74,1
2008-03-01,3.51,1
2008-04-01,3.68,1
2008-05-01,3.88,1
2008-06-01,4.10,1
2008-07-01,4.01,1
2008-08-01,3.89,1
2008-09-01,3.69,1
2008-10-01,3.81,1
2008-11-01,3.53,1
2008-12-01,2.42,1
2009-01-01,2.52,1
2009-02-01,2.87,1
2009-03-01,2.82,1
2009-04-01,2.93,1
2009-05-01,3.29,1
2009-06-01,3.72,0
2009-07-01,3.56,0
2009-08-01,3.59,0
2009-09-01,3.40,0
2009-10-01,3.39,0
2009-11-01,3.40,0
2009-12-01,3.59,0
2010-01-01,3.73,0
2010-02-01,3.69,0
2010-03-01,3.73,0
2010-04-01,3.85,0
2010-05-01,3.42,0
2010-06-01,3.20,0
2010-07-01,3.01,0
2010-08-01,2.70,0
2010-09-01,2.65,0
2010-10-01,2.54,0
2010-11-01,2.76,0
2010-12-01,3.29,0
2011-01-01,3.39,0
2011-02-01,3.58,0
2011-03-01,3.41,0
2011-04-01,3.46,0
2011-05-01,3.17,0
2011-06-01,3.00,0
2011-07-01,3.00,0
2011-08-01,2.30,0
2011-09-01,1.98,0
2011-10-01,2.15,0
2011-11-01,2.01,0
2011-12-01,1.98,0
2012-01-01,1.97,0
2012-02-01,1.97,0
2012-03-01,2.17,0
2012-04-01,2.05,0
2012-05-01,1.80,0
2012-06-01,1.62,0
2012-07-01,1.53,0
2012-08-01,1.68,0
2012-09-01,1.72,0
2012-10-01,1.75,0
2012-11-01,1.65,0
2012-12-01,1.72,0
2013-01-01,1.91,0
2013-02-01,1.98,0
2013-03-01,1.96,0
2013-04-01,1.76,0
2013-05-01,1.93,0
2013-06-01,2.30,0
2013-07-01,2.58,0
2013-08-01,2.74,0
2013-09-01,2.81,0
2013-10-01,2.62,0
2013-11-01,2.72,0
2013-12-01,2.90,0
2014-01-01,2.86,0
2014-02-01,2.71,0
2014-03-01,2.72,0
2014-04-01,2.71,0
2014-05-01,2.56,0
2014-06-01,2.60,0
2014-07-01,2.54,0
2014-08-01,2.42,0
2014-09-01,2.53,0
2014-10-01,2.30,0
2014-11-01,2.33,0
2014-12-01,2.21,0
2015-01-01,1.88,0
2015-02-01,1.98,0
2015-03-01,2.04,0
2015-04-01,1.94,0
2015-05-01,2.20,0
2015-06-01,2.36,0
2015-07-01,2.32,0
2015-08-01,2.17,0
2015-09-01,2.17,0
2015-10-01,2.07,0
2015-11-01,2.26,0
2015-12-01,2.24,0
2016-01-01,2.09,0
2016-02-01,1.78,0
2016-03-01,1.89,0
2016-04-01,1.81,0
2016-05-01,1.81,0
2016-06-01,1.64,0
2016-07-01,1.50,0
2016-08-01,1.56,0
2016-09-01,1.63,0
2016-10-01,1.76,0
2016-11-01,2.14,0
2016-12-01,2.49,0
